profile,branch,eigenvalue,epsilon,theta,theta_over_pi,probability_density,mass
single_wall,chiral,-0.0100508982961,0.02,0.002,0.000636619772368,1.86738688152e-33,0.999998000001
single_wall,chiral,-0.0100508982961,0.02,0.00409312385163,0.00130288178735,6.5936252586e-33,0.99999162318
single_wall,chiral,-0.0100508982961,0.02,0.00618624770326,0.00196914380233,1.05301293383e-32,0.999980865231
single_wall,chiral,-0.0100508982961,0.02,0.00827937155488,0.00263540581731,1.82027333849e-32,0.999965726199
single_wall,chiral,-0.0100508982961,0.02,0.0103724954065,0.00330166783229,2.83660003116e-32,0.999946206152
single_wall,chiral,-0.0100508982961,0.02,0.0124656192581,0.00396792984727,5.16926453226e-32,0.999922305174
single_wall,chiral,-0.0100508982961,0.02,0.0145587431098,0.00463419186225,7.85948546194e-32,0.999894023371
single_wall,chiral,-0.0100508982961,0.02,0.0166518669614,0.00530045387723,9.42876885667e-32,0.999861360867
single_wall,chiral,-0.0100508982961,0.02,0.018744990813,0.00596671589221,1.45235727725e-31,0.999824317804
single_wall,chiral,-0.0100508982961,0.02,0.0208381146646,0.00663297790719,1.78887074275e-31,0.999782894345
single_wall,chiral,-0.0100508982961,0.02,0.0229312385163,0.00729923992217,2.28581852562e-31,0.999737090671
single_wall,chiral,-0.0100508982961,0.02,0.0250243623679,0.00796550193715,2.67650577479e-31,0.999686906983
single_wall,chiral,-0.0100508982961,0.02,0.0271174862195,0.00863176395213,2.94315892128e-31,0.999632343501
single_wall,chiral,-0.0100508982961,0.02,0.0292106100712,0.00929802596711,3.69356150678e-31,0.999573400464
single_wall,chiral,-0.0100508982961,0.02,0.0313037339228,0.00996428798209,3.71625490481e-31,0.99951007813
single_wall,chiral,-0.0100508982961,0.02,0.0333968577744,0.0106305499971,3.68244044694e-31,0.999442376777
single_wall,chiral,-0.0100508982961,0.02,0.035489981626,0.0112968120121,4.29042803841e-31,0.999370296701
single_wall,chiral,-0.0100508982961,0.02,0.0375831054777,0.011963074027,4.5870335581e-31,0.999293838218
single_wall,chiral,-0.0100508982961,0.02,0.0396762293293,0.012629336042,4.16835657616e-31,0.999213001663
single_wall,chiral,-0.0100508982961,0.02,0.0417693531809,0.013295598057,3.4076356173e-31,0.999127787389
single_wall,chiral,-0.0100508982961,0.02,0.0438624770326,0.013961860072,3.89147029683e-31,0.999038195772
single_wall,chiral,-0.0100508982961,0.02,0.0459556008842,0.014628122087,2.9484527136e-31,0.998944227202
single_wall,chiral,-0.0100508982961,0.02,0.0480487247358,0.0152943841019,2.9365790687e-31,0.998845882092
single_wall,chiral,-0.0100508982961,0.02,0.0501418485874,0.0159606461169,2.51020704223e-31,0.998743160872
single_wall,chiral,-0.0100508982961,0.02,0.0522349724391,0.0166269081319,1.65368736911e-31,0.998636063994
single_wall,chiral,-0.0100508982961,0.02,0.0543280962907,0.0172931701469,1.67142368572e-31,0.998524591924
single_wall,chiral,-0.0100508982961,0.02,0.0564212201423,0.0179594321619,1.45456880401e-31,0.998408745153
single_wall,chiral,-0.0100508982961,0.02,0.0585143439939,0.0186256941768,1.25556059107e-31,0.998288524188
single_wall,chiral,-0.0100508982961,0.02,0.0606074678456,0.0192919561918,1.51852816466e-31,0.998163929555
single_wall,chiral,-0.0100508982961,0.02,0.0627005916972,0.0199582182068,1.35627573638e-31,0.9980349618
single_wall,chiral,-0.0100508982961,0.02,0.0647937155488,0.0206244802218,1.51887202034e-31,0.997901621489
single_wall,chiral,-0.0100508982961,0.02,0.0668868394005,0.0212907422368,1.1569371526e-31,0.997763909205
single_wall,chiral,-0.0100508982961,0.02,0.0689799632521,0.0219570042517,1.4666684076e-31,0.997621825552
single_wall,chiral,-0.0100508982961,0.02,0.0710730871037,0.0226232662667,1.97349591772e-31,0.997475371152
single_wall,chiral,-0.0100508982961,0.02,0.0731662109553,0.0232895282817,1.37250120429e-31,0.997324546648
single_wall,chiral,-0.0100508982961,0.02,0.075259334807,0.0239557902967,1.98689657427e-31,0.997169352699
single_wall,chiral,-0.0100508982961,0.02,0.0773524586586,0.0246220523117,2.65037332355e-31,0.997009789985
single_wall,chiral,-0.0100508982961,0.02,0.0794455825102,0.0252883143266,2.2724748551e-31,0.996845859207
single_wall,chiral,-0.0100508982961,0.02,0.0815387063618,0.0259545763416,3.00892420744e-31,0.996677561081
single_wall,chiral,-0.0100508982961,0.02,0.0836318302135,0.0266208383566,3.1794835095e-31,0.996504896346
single_wall,chiral,-0.0100508982961,0.02,0.0857249540651,0.0272871003716,3.51615618279e-31,0.996327865757
single_wall,chiral,-0.0100508982961,0.02,0.0878180779167,0.0279533623866,3.05345204557e-31,0.996146470091
single_wall,chiral,-0.0100508982961,0.02,0.0899112017684,0.0286196244015,3.44845043504e-31,0.995960710142
single_wall,chiral,-0.0100508982961,0.02,0.09200432562,0.0292858864165,2.93326516453e-31,0.995770586723
single_wall,chiral,-0.0100508982961,0.02,0.0940974494716,0.0299521484315,3.35405276645e-31,0.995576100669
single_wall,chiral,-0.0100508982961,0.02,0.0961905733232,0.0306184104465,2.49562865206e-31,0.995377252831
single_wall,chiral,-0.0100508982961,0.02,0.0982836971749,0.0312846724615,2.60977892189e-31,0.99517404408
single_wall,chiral,-0.0100508982961,0.02,0.100376821026,0.0319509344764,1.99411432528e-31,0.994966475306
single_wall,chiral,-0.0100508982961,0.02,0.102469944878,0.0326171964914,1.66463428814e-31,0.994754547419
single_wall,chiral,-0.0100508982961,0.02,0.10456306873,0.0332834585064,1.06085827962e-31,0.994538261348
single_wall,chiral,-0.0100508982961,0.02,0.106656192581,0.0339497205214,1.16868403607e-31,0.994317618039
single_wall,chiral,-0.0100508982961,0.02,0.108749316433,0.0346159825364,8.83105957404e-32,0.99409261846
single_wall,chiral,-0.0100508982961,0.02,0.110842440285,0.0352822445513,5.98357435734e-32,0.993863263597
single_wall,chiral,-0.0100508982961,0.02,0.112935564136,0.0359485065663,6.37616775888e-32,0.993629554453
single_wall,chiral,-0.0100508982961,0.02,0.115028687988,0.0366147685813,5.89879369651e-32,0.993391492054
single_wall,chiral,-0.0100508982961,0.02,0.11712181184,0.0372810305963,2.11504908084e-32,0.993149077442
single_wall,chiral,-0.0100508982961,0.02,0.119214935691,0.0379472926113,4.44534147864e-32,0.992902311679
